00,00,183,01-93;01-33,01-93;01-33,01-93;01-33
00,01,161;9,01-05;01-82;01-30,01-05;01-82;01-30,01-05;01-82;01-30
00,02,18;30;179;56;130;42;2;34;33;131;14;38;141;133;16;40;132;41;32;140;20;117;123;136;119;175;129;24;37;88;39;22;137,01-16;01-89;01-44;01-28;01-19;01-10;01-15;01-01;01-17;01-68;01-67;01-08;01-20;01-70;01-91;01-58;01-12;01-11;01-60;01-61;01-07;01-21;01-63;01-72;01-09;01-66,01-16;01-89;01-44;01-28;01-19;01-10;01-15;01-01;01-17;01-68;01-67;01-08;01-20;01-70;01-91;01-58;01-12;01-11;01-60;01-61;01-07;01-21;01-63;01-72;01-09;01-66,01-16;01-89;01-28;01-44;01-19;01-10;01-15;01-01;01-68;01-17;01-67;01-08;01-20;01-70;01-91;01-58;01-12;01-11;01-60;01-61;01-07;01-21;01-63;01-72;01-09;01-66
00,03,199;198;215;108,01-101;01-49;01-55;01-109,01-101;01-49;01-55;01-109,01-49;01-55;01-101;01-109
00,04,75;85,01-43;01-102;01-38,01-43;01-102;01-38,01-43;01-102;01-38
00,05,195;173;213,01-88;01-99;01-108;01-54,01-88;01-99;01-108;01-54,01-54;01-88;01-99;01-108
00,06,91;93,01-46;01-47;01-95,01-46;01-47;01-95,01-46;01-47;01-95
00,07,192;210;180,01-53;01-98;01-92;01-107,01-53;01-98;01-92;01-107,01-92;01-107;01-53;01-98
00,08,121;12,01-06;01-62;01-25,01-06;01-62;01-25,01-62;01-06;01-25
00,09,78;84,01-39;01-42;01-106,01-39;01-42;01-106,01-39;01-42;01-106
00,10,51;53;112,01-57;01-27;01-26;01-52,01-57;01-27;01-26;01-52,01-26;01-27;01-57;01-52
00,11,25;47;27;127,01-13;01-14;01-24;01-65;01-73,01-13;01-14;01-24;01-65;01-73,01-13;01-14;01-24;01-65;01-73
00,12,151;155,01-79;01-04;01-77,01-79;01-04;01-77,01-79;01-04;01-77
00,13,96;90,01-48;01-97;01-45,01-48;01-97;01-45,01-45;01-97;01-48
00,14,196;176,01-36;01-90;01-100,01-36;01-90;01-100,01-90;01-36;01-100
00,15,4;207;6;157,01-03;01-80;01-84;01-02;01-105,01-03;01-80;01-84;01-02;01-105,01-03;01-80;01-84;01-02;01-105
00,16,188;152,01-96;01-78;01-50,01-96;01-78;01-50,01-96;01-78;01-50
00,17,217;79,01-110;01-56;01-40,01-110;01-56;01-40,01-110;01-56;01-40
01,00,71;97;7,01-36;01-49;01-82;01-04,,01-36;01-05;01-55;01-101;01-49;01-79;01-90;01-82;01-30;01-77;01-04;01-100;01-109
01,01,36;35,01-70;01-58;01-18,01-18,01-16;01-70;01-89;01-91;01-58;01-28;01-44;01-12;01-19;01-18;01-11;01-60;01-10;01-61;01-07;01-15;01-01;01-68;01-17;01-21;01-63;01-72;01-09;01-67;01-66;01-08;01-20
01,02,100;99,01-57;01-62;01-50,,01-06;01-57;01-27;01-96;01-78;01-62;01-52;01-26;01-25;01-50
01,03,167;64;165,01-32;01-93;01-85;01-84,01-32;01-85,01-32;01-03;01-93;01-85;01-80;01-84;01-02;01-33;01-105
01,04,54;52,01-27;01-78;01-26,,01-26;01-27;01-78;01-57;01-96;01-50;01-52
01,05,77,01-39;01-103,01-103,01-39;01-42;01-103;01-106
01,06,187,01-95;01-01,,01-16;01-89;01-70;01-91;01-28;01-44;01-58;01-12;01-19;01-11;01-60;01-10;01-61;01-95;01-07;01-15;01-01;01-68;01-17;01-21;01-63;01-72;01-46;01-09;01-47;01-67;01-66;01-08;01-20
01,07,49;11,01-06;01-96;01-25,,01-06;01-96;01-25;01-78;01-62;01-50
01,08,128;118,01-46;01-61;01-66,,01-16;01-89;01-70;01-91;01-28;01-44;01-58;01-12;01-19;01-11;01-60;01-10;01-61;01-95;01-07;01-15;01-01;01-68;01-17;01-21;01-63;01-72;01-46;01-09;01-47;01-67;01-66;01-08;01-20
01,09,125,01-24;01-64,01-64,01-13;01-14;01-64;01-73;01-24;01-65
01,10,95;106;104;89,01-53;01-48;01-102;01-54;01-45,,01-53;01-48;01-92;01-43;01-98;01-102;01-88;01-99;01-107;01-97;01-108;01-54;01-38;01-45
02,00,134;83;103;178;135;209;174;50;203,01-89;01-69;01-103;01-01;01-25;01-91;01-106;01-21;01-42;01-52,01-69,01-16;01-89;01-57;01-28;01-44;01-19;01-69;01-10;01-103;01-95;01-50;01-15;01-01;01-68;01-17;01-25;01-67;01-08;01-20;01-70;01-91;01-27;01-58;01-12;01-18;01-11;01-60;01-26;01-61;01-106;01-07;01-06;01-39;01-96;01-78;01-21;01-63;01-62;01-42;01-72;01-46;01-09;01-47;01-66;01-52
02,01,194;172,01-88;01-37;01-99,01-37,01-53;01-98;01-92;01-43;01-102;01-37;01-99;01-38;01-48;01-107;01-88;01-97;01-108;01-54;01-45
02,02,159,01-81;01-30,01-81,01-36;01-05;01-101;01-49;01-79;01-109;01-90;01-81;01-30;01-82;01-55;01-04;01-100;01-77
02,03,45,01-23;01-73,01-23,01-13;01-14;01-64;01-24;01-65;01-23;01-73
